identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
bab,,,,bab,BAB I: KETENTUAN UMUM,BAB I: KETENTUAN UMUM,1,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 1,1.0,,,pasal,"Dalam Peraturan Menteri ini yang dimaksud dengan: 1. Undang-Undang Pajak Penghasilan adalah Undang­ Undang Nomor 7 Tahun 1983 tentang Pajak Penghasilan sebagaimana telah beberapa kali diubah terakhir dengan Undang-Undang Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan. 2. Undang-Undang Pajak Pertambahan Nilai adalah Undang­ Undang Nomor 8 Tahun 1983 tentang Pajak Pertambahan Nilai Barang dan Jasa dan Pajak Penjualan atas Barang Mewah sebagaimana telah beberapa kali diubah terakhir dengan Undang-Undang Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan. 3. Pajak Penghasilan adalah Pajak Penghasilan sebagaimana diatur dalam Undang-Undang Pajak Penghasilan. 4. Pajak Penghasilan Berdasarkan Ketentuan Umum Pajak Penghasilan adalah Pajak Penghasilan yang dihitung berdasarkan penghasilan kena pajak sebagaimana dimaksud dalam Pasal 16 Undang-Undang Pajak Penghasilan dan dikalikan dengan tarif Pasal 1 7 ayat ( 1) huruf a Undang-Undang Pajak Penghasilan untuk Wajib Pajak orang pribadi atau tarif Pasal 1 7 ayat ( 1) huruf b Undang-Undang Pajak Penghasilan dengan mempertimbangkan Pasal 31E Undang-Undang Pajak Penghasilan untuk Wajib Pajak badan. 5. Wajib Pajak adalah orang pribadi atau badan, meliputi pembayar pajak, pemotong pajak, dan pemungut pajak yang mempunyai hak dan kewajiban perpajakan sesuai ketentuan peraturan perundang-undangan di bidang perpajakan. 6. Wajib Pajak Berstatus Pusat adalah Wajib Pajak yang dalam administrasi perpajakan memiliki kewajiban menyampaikan Surat Pemberitahuan Tahunan Pajak Penghasilan. 7. Pemotong atau Pemungut Pajak Penghasilan adalah Wajib Pajak yang dikenai kewajiban untuk melakukan pemotongan dan/ atau pemungutan pajak sesuai dengan ketentuan peraturan perundang-undangan di bidang Pajak Penghasilan. 8. Pengusaha adalah orang pribadi atau badan dalam bentuk apa pun yang dalam kegiatan usaha atau pekerjaann/ jdih.kemenkeu.go.id menghasilkan barang, mengimpor barang, mengekspor barang, melakukan usaha perdagangan, memanfaatkan barang tidak berwujud dari luar daerah pabean, melakukan usaha jasa termasuk mengekspor jasa, atau memanfaatkanjasa dari luar daerah pabean. 9. Pengusaha Kena Pajak adalah Pengusaha yang melakukan penyerahan barang kena pajak dan/ atau penyerahan jasa kena pajak yang dikenai pajak berdasarkan Undang­ Undang Pajak Pertambahan Nilai. 10. Surat Keterangan adalah surat yang menerangkan bahwa Wajib Pajak memenuhi kriteria sebagai Wajib Pajak yang memiliki peredaran bruto tertentu sebagaimana diatur dalam Peraturan Pemerintah Nomor 55 Tahun 2022 tentang Penyesuaian Pengaturan di Bidang Pajak Penghasilan. 11. Jangka Waktu Tertentu adalah jangka waktu pengenaan Pajak Penghasilan yang bersifat final sebagaimana diatur dalam Peraturan Pemerintah Nomor 55 Tahun 2022 tentang Penyesuaian Pengaturan di Bidang Pajak Penghasilan. 12. Masa Pajak adalahjangka waktu yang menjadi dasar bagi Wajib Pajak untuk menghitung, menyetor, dan melaporkan pajak yang terutang dalam suatu jangka waktu tertentu sebagaimana ditentukan dalam undang­ undang yang mengatur mengenai ketentuan umum dan tata cara perpajakan. 13. Tahun Pajak adalahjangka waktu 1 (satu) tahun kalender kecuali bila Wajib Pajak menggunakan tahun buku yang tidak sama dengan tahun kalender. 14. Surat Setoran Pajak adalah bukti pembayaran atau penyetoran pajak yang telah dilakukan dengan menggunakan formulir atau telah dilakukan dengan cara lain ke kas negara melalui tempat pembayaran yang ditunjuk oleh Menteri Keuangan. 15. Surat Pemberitahuan adalah surat yang oleh Wajib Pajak digunakan untuk melaporkan penghitungan dan/atau pembayaran pajak, objek pajak, dan/ atau bukan objek pajak, clan/ atau harta dan kewajiban sesuai dengan ketentuan peraturan perundang-undangan perpajakan. 16. Surat Pemberitahuan Masa adalah Surat Pemberitahuan untuk suatu Masa Pajak. 17. Surat Pemberitahuan Tahunan adalah Surat Pemberitahuan untuk suatu Tahun Pajak atau bagian Tahun Pajak. 18. Surat Pemberitahuan Masa Pajak Penghasilan Unifikasi adalah Surat Pemberitahuan Masa yang digunakan oleh Pemotong atau Pemungut Pajak Penghasilan untuk melaporkan kewajiban pemotongan dan/ atau pemungutan Pajak Penghasilan, penyetoran atas pemotongan dan/ atau pemungutan Pajak Penghasilan, dan/ atau penyetoran sendiri atas beberapa jenis Pajak Penghasilan dalam 1 (satu) Masa Pajak, sesuai dengan ketentuan peraturan perundang-undangan di bidang perpajakan. 19. Angsuran Pajak Penghasilan Pasal 25 adalah angsuran Pajak Penghasilan dalam Tahun Pajak berjalan untuk /J jdih.kemenkeu.go.id setiap bulan yang harus dibayar sendiri oleh Wajib Pajak sebagaimana dimaksud dalam Undang-Undang Pajak Penghasilan. 20. Kantor Pelayanan Pajak adalah instansi vertikal Direktorat Jenderal Pajak yang berada di bawah dan bertanggung jawab langsung kepada kepala kantor wilayah. 21. Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang keuangan negara.","Pasal 1 berbunyi: Dalam Peraturan Menteri ini yang dimaksud dengan: 1. Undang-Undang Pajak Penghasilan adalah Undang­ Undang Nomor 7 Tahun 1983 tentang Pajak Penghasilan sebagaimana telah beberapa kali diubah terakhir dengan Undang-Undang Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan. 2. Undang-Undang Pajak Pertambahan Nilai adalah Undang­ Undang Nomor 8 Tahun 1983 tentang Pajak Pertambahan Nilai Barang dan Jasa dan Pajak Penjualan atas Barang Mewah sebagaimana telah beberapa kali diubah terakhir dengan Undang-Undang Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan. 3. Pajak Penghasilan adalah Pajak Penghasilan sebagaimana diatur dalam Undang-Undang Pajak Penghasilan. 4. Pajak Penghasilan Berdasarkan Ketentuan Umum Pajak Penghasilan adalah Pajak Penghasilan yang dihitung berdasarkan penghasilan kena pajak sebagaimana dimaksud dalam Pasal 16 Undang-Undang Pajak Penghasilan dan dikalikan dengan tarif Pasal 1 7 ayat ( 1) huruf a Undang-Undang Pajak Penghasilan untuk Wajib Pajak orang pribadi atau tarif Pasal 1 7 ayat ( 1) huruf b Undang-Undang Pajak Penghasilan dengan mempertimbangkan Pasal 31E Undang-Undang Pajak Penghasilan untuk Wajib Pajak badan. 5. Wajib Pajak adalah orang pribadi atau badan, meliputi pembayar pajak, pemotong pajak, dan pemungut pajak yang mempunyai hak dan kewajiban perpajakan sesuai ketentuan peraturan perundang-undangan di bidang perpajakan. 6. Wajib Pajak Berstatus Pusat adalah Wajib Pajak yang dalam administrasi perpajakan memiliki kewajiban menyampaikan Surat Pemberitahuan Tahunan Pajak Penghasilan. 7. Pemotong atau Pemungut Pajak Penghasilan adalah Wajib Pajak yang dikenai kewajiban untuk melakukan pemotongan dan/ atau pemungutan pajak sesuai dengan ketentuan peraturan perundang-undangan di bidang Pajak Penghasilan. 8. Pengusaha adalah orang pribadi atau badan dalam bentuk apa pun yang dalam kegiatan usaha atau pekerjaann/ jdih.kemenkeu.go.id menghasilkan barang, mengimpor barang, mengekspor barang, melakukan usaha perdagangan, memanfaatkan barang tidak berwujud dari luar daerah pabean, melakukan usaha jasa termasuk mengekspor jasa, atau memanfaatkanjasa dari luar daerah pabean. 9. Pengusaha Kena Pajak adalah Pengusaha yang melakukan penyerahan barang kena pajak dan/ atau penyerahan jasa kena pajak yang dikenai pajak berdasarkan Undang­ Undang Pajak Pertambahan Nilai. 10. Surat Keterangan adalah surat yang menerangkan bahwa Wajib Pajak memenuhi kriteria sebagai Wajib Pajak yang memiliki peredaran bruto tertentu sebagaimana diatur dalam Peraturan Pemerintah Nomor 55 Tahun 2022 tentang Penyesuaian Pengaturan di Bidang Pajak Penghasilan. 11. Jangka Waktu Tertentu adalah jangka waktu pengenaan Pajak Penghasilan yang bersifat final sebagaimana diatur dalam Peraturan Pemerintah Nomor 55 Tahun 2022 tentang Penyesuaian Pengaturan di Bidang Pajak Penghasilan. 12. Masa Pajak adalahjangka waktu yang menjadi dasar bagi Wajib Pajak untuk menghitung, menyetor, dan melaporkan pajak yang terutang dalam suatu jangka waktu tertentu sebagaimana ditentukan dalam undang­ undang yang mengatur mengenai ketentuan umum dan tata cara perpajakan. 13. Tahun Pajak adalahjangka waktu 1 (satu) tahun kalender kecuali bila Wajib Pajak menggunakan tahun buku yang tidak sama dengan tahun kalender. 14. Surat Setoran Pajak adalah bukti pembayaran atau penyetoran pajak yang telah dilakukan dengan menggunakan formulir atau telah dilakukan dengan cara lain ke kas negara melalui tempat pembayaran yang ditunjuk oleh Menteri Keuangan. 15. Surat Pemberitahuan adalah surat yang oleh Wajib Pajak digunakan untuk melaporkan penghitungan dan/atau pembayaran pajak, objek pajak, dan/ atau bukan objek pajak, clan/ atau harta dan kewajiban sesuai dengan ketentuan peraturan perundang-undangan perpajakan. 16. Surat Pemberitahuan Masa adalah Surat Pemberitahuan untuk suatu Masa Pajak. 17. Surat Pemberitahuan Tahunan adalah Surat Pemberitahuan untuk suatu Tahun Pajak atau bagian Tahun Pajak. 18. Surat Pemberitahuan Masa Pajak Penghasilan Unifikasi adalah Surat Pemberitahuan Masa yang digunakan oleh Pemotong atau Pemungut Pajak Penghasilan untuk melaporkan kewajiban pemotongan dan/ atau pemungutan Pajak Penghasilan, penyetoran atas pemotongan dan/ atau pemungutan Pajak Penghasilan, dan/ atau penyetoran sendiri atas beberapa jenis Pajak Penghasilan dalam 1 (satu) Masa Pajak, sesuai dengan ketentuan peraturan perundang-undangan di bidang perpajakan. 19. Angsuran Pajak Penghasilan Pasal 25 adalah angsuran Pajak Penghasilan dalam Tahun Pajak berjalan untuk /J jdih.kemenkeu.go.id setiap bulan yang harus dibayar sendiri oleh Wajib Pajak sebagaimana dimaksud dalam Undang-Undang Pajak Penghasilan. 20. Kantor Pelayanan Pajak adalah instansi vertikal Direktorat Jenderal Pajak yang berada di bawah dan bertanggung jawab langsung kepada kepala kantor wilayah. 21. Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang keuangan negara.",3,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 2,2.0,,,pasal,"Ruang lingkup pengaturan dalam Peraturan Menteri ini meliputi: a. objek dan subjek pajak; b. tata cara pemberitahuan Wajib Pajak yang memilih dikenai Pajak Penghasilan Berdasarkan Ketentuan Umum Pajak Penghasilan; c. tata cara penghitungan Pajak Penghasilan; d. tata cara penyetoran, pemotongan atau pemungutan, dan pelaporan; e. tata cara pengajuan permohonan dan penerbitan Surat Keterangan; f. Angsuran Pajak Penghasilan Pasal 25; dan g. kewajiban pelaporan usaha untuk dikukuhkan sebagai Pengusaha Kena Pajak.","Pasal 2 berbunyi: Ruang lingkup pengaturan dalam Peraturan Menteri ini meliputi: a. objek dan subjek pajak; b. tata cara pemberitahuan Wajib Pajak yang memilih dikenai Pajak Penghasilan Berdasarkan Ketentuan Umum Pajak Penghasilan; c. tata cara penghitungan Pajak Penghasilan; d. tata cara penyetoran, pemotongan atau pemungutan, dan pelaporan; e. tata cara pengajuan permohonan dan penerbitan Surat Keterangan; f. Angsuran Pajak Penghasilan Pasal 25; dan g. kewajiban pelaporan usaha untuk dikukuhkan sebagai Pengusaha Kena Pajak.",3,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
bab,,,,bab,BAB II: OBJEK DAN SUBJEK PAJAK,BAB II: OBJEK DAN SUBJEK PAJAK,1,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (1),3.0,1.0,,ayat,"Atas penghasilan dari usaha yang diterima atau diperoleh Wajib Pajak dalam negeri yang memiliki peredaran bruto tertentu, dikenai Pajak Penghasilan yang bersifat final dalam Jangka Waktu Tertentu.","Pasal 3 ayat (1) berbunyi: Atas penghasilan dari usaha yang diterima atau diperoleh Wajib Pajak dalam negeri yang memiliki peredaran bruto tertentu, dikenai Pajak Penghasilan yang bersifat final dalam Jangka Waktu Tertentu.",4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (2),3.0,2.0,,ayat,"Tarif Pajak Penghasilan yang bersifat final sebagaimana dimaksud pada ayat (1) sebesar 0,5% (nol koma lima persen).","Pasal 3 ayat (2) berbunyi: Tarif Pajak Penghasilan yang bersifat final sebagaimana dimaksud pada ayat (1) sebesar 0,5% (nol koma lima persen).",4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (3),3.0,3.0,,ayat,Tidak termasuk penghasilan dari usaha yang dikenai Pajak Penghasilan yang bersifat final se bagaimana dimaksud pada ayat (1) sebagai berikut:,Pasal 3 ayat (3) berbunyi: Tidak termasuk penghasilan dari usaha yang dikenai Pajak Penghasilan yang bersifat final se bagaimana dimaksud pada ayat (1) sebagai berikut:,4,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (3) poin a,3.0,3.0,a,poin,penghasilan yang diterima atau diperoleh Wajib Pajak orang pribadi darijasa sehubungan dengan pekerjaan be bas;,Pasal 3 ayat (3) poin a berbunyi: penghasilan yang diterima atau diperoleh Wajib Pajak orang pribadi darijasa sehubungan dengan pekerjaan be bas;,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (3) poin b,3.0,3.0,b,poin,penghasilan yang diterima atau diperoleh di luar negeri yang pajaknya terutang atau telah dibayar di luar negeri;,Pasal 3 ayat (3) poin b berbunyi: penghasilan yang diterima atau diperoleh di luar negeri yang pajaknya terutang atau telah dibayar di luar negeri;,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
Pasal 3 ayat (3) poin c,3.0,3.0,c,poin,penghasilan yang telah dikenai Pajak Penghasilan yang bersifat final dengan ketentuan peraturan perundang-undangan perpajakan tersendiri; dan,Pasal 3 ayat (3) poin c berbunyi: penghasilan yang telah dikenai Pajak Penghasilan yang bersifat final dengan ketentuan peraturan perundang-undangan perpajakan tersendiri; dan,5,PM Keuangan Nomor 164 Tahun 2023,PM Keuangan Nomor 164 Tahun 2023.pdf
