identifier,pasal,ayat,poin,element_type,content,full_text,hierarchy_level,source_document,source_file
bab,,,,bab,BAB I: KETENTUAN UMUM,BAB I: KETENTUAN UMUM,1,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 1,1.0,,,pasal,"Dalam Undang-Undang ini yang dimaksud dengan: 1. Usaha Mikro adalah usaha produktif milik orang perorangan dan/atau badan usaha perorangan yang memenuhi kriteria Usaha Mikro sebagaimana diatur dalam Undang-Undang ini. 2. Usaha Kecil adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perorangan atau badan usaha yang bukan merupakan anak perusahaan atau buk an cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dari Usaha Menengah atau Usaha Besar yang memenuhi kriteria Usaha Kecil sebagaimana dimaksud dalam Undang-Undang ini. 3. Usaha Menengah adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perorangan atau badan usaha yang bukan merupakan anak perusahaan at au cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dengan Usaha Kecil atau Usaha Besar dengan jumlah kekayaan bersih at au hasil penjualan tahunan sebagaimana diatur dalam Undang- Undang ini. 4. Usaha Besar adalah usaha ekonomi produktif yang dilakukan oleh badan usaha dengan jumlah kekayaan bersih atau hasil penjualan tahunan lebih besar dari Usaha Menengah, yang meliputi usaha nasional milik negara atau swasta, usaha patungan, dan usaha asing yang melakukan kegiatan ekonomi di Indonesia. 5. Dunia Usaha adalah Usaha Mikro, Usaha Kecil, Usaha Menengah, dan Usaha Besar yang melakukan kegiatan ekonomi di Indonesia dan berdomisili di Indonesia. 6. Pemerintah . . . 6. Pemerintah Pusat, selanjutnya disebut Pemerintah, adalah yang memegang kekuasaan pemerintahan Negara Republik Indonesia sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945. 7. Pemerintah Daerah adalah Gubernur, Bupati, atau Walikota, dan perangkat daerah sebagai unsur penyelenggara pemerintahan daerah. 8. Pemberdayaan adalah upaya yang dilakukan Pemerinta h, Pemerintah Daerah, Dunia Usaha, dan masyarakat secara sinergis dalam bentuk penumbuhan iklim dan pengembangan usaha terhadap Usaha Mikro, Kecil, dan Menengah sehingga mampu tumbuh dan berkembang menjadi usaha yang tangguh dan mandiri. 9. Iklim Usaha adalah kondisi yang diupayakan Pemerintah dan Pemerintah Daerah untuk memberdayakan Usaha Mikro, Kecil, dan Menengah secara sinergis melalui penetapan berbagai peraturan perundang-undangan dan kebijakan di berbagai aspek kehidupan ekonomi agar Usah a Mikro, Kecil, dan Menengah memperoleh pemihakan, kepastian, kesempatan, perlindungan, dan dukungan berusaha yang seluas-luasnya. 10. Pengembangan adalah upaya yang dilakukan oleh Pemerintah, Pemerintah Daerah, Dunia Usaha, dan masyarakat untuk memberdayakan Usaha Mikro, Kecil, dan Menengah melalui pemberian fasilitas, bimbingan, pendampingan, dan bantuan perkuatan untuk menumbuhkan dan meningkatkan kemampuan dan daya saing Usaha Mikro, Kecil, dan Menengah. 11. Pembiayaan adalah penyediaan dana oleh Pemerin tah, Pemerintah Daerah, Dunia Usaha, dan masyarakat melalui bank, koperasi, dan lembaga keuangan bukan bank, untuk mengembangkan dan memperkuat permodalan Usaha Mikro, Kecil, dan Menengah. 12. Penjaminan adalah pemberian jaminan pinjaman Usaha Mikro, Kecil, dan Menengah oleh lembaga penjamin kredit sebagai dukungan untuk memperbesar kesempatan memperoleh pinjaman dalam rangka memperkuat permodalannya. 13. Kemitraan adalah kerjasama dalam keterkaitan usaha, baik langsung maupun tidak langsung, atas dasar prinsip saling memerlukan, mempercayai, memperkuat, dan menguntungkan yang melibatkan pelaku Usaha Mikro, Kecil, dan Menengah dengan Usaha Besar. 14. Menteri . . . 14. Menteri adalah menteri yang tugas dan tanggung jawabnya di bidang Usaha Mikro, Kecil, dan Menengah. 15. Menteri Teknis adalah menteri yang secara teknis bertanggung jawab untuk mengembangkan Usaha Mikro, Kecil, dan Menengah dalam sektor kegiatannya.","Pasal 1 berbunyi: Dalam Undang-Undang ini yang dimaksud dengan: 1. Usaha Mikro adalah usaha produktif milik orang perorangan dan/atau badan usaha perorangan yang memenuhi kriteria Usaha Mikro sebagaimana diatur dalam Undang-Undang ini. 2. Usaha Kecil adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perorangan atau badan usaha yang bukan merupakan anak perusahaan atau buk an cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dari Usaha Menengah atau Usaha Besar yang memenuhi kriteria Usaha Kecil sebagaimana dimaksud dalam Undang-Undang ini. 3. Usaha Menengah adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perorangan atau badan usaha yang bukan merupakan anak perusahaan at au cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dengan Usaha Kecil atau Usaha Besar dengan jumlah kekayaan bersih at au hasil penjualan tahunan sebagaimana diatur dalam Undang- Undang ini. 4. Usaha Besar adalah usaha ekonomi produktif yang dilakukan oleh badan usaha dengan jumlah kekayaan bersih atau hasil penjualan tahunan lebih besar dari Usaha Menengah, yang meliputi usaha nasional milik negara atau swasta, usaha patungan, dan usaha asing yang melakukan kegiatan ekonomi di Indonesia. 5. Dunia Usaha adalah Usaha Mikro, Usaha Kecil, Usaha Menengah, dan Usaha Besar yang melakukan kegiatan ekonomi di Indonesia dan berdomisili di Indonesia. 6. Pemerintah . . . 6. Pemerintah Pusat, selanjutnya disebut Pemerintah, adalah yang memegang kekuasaan pemerintahan Negara Republik Indonesia sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945. 7. Pemerintah Daerah adalah Gubernur, Bupati, atau Walikota, dan perangkat daerah sebagai unsur penyelenggara pemerintahan daerah. 8. Pemberdayaan adalah upaya yang dilakukan Pemerinta h, Pemerintah Daerah, Dunia Usaha, dan masyarakat secara sinergis dalam bentuk penumbuhan iklim dan pengembangan usaha terhadap Usaha Mikro, Kecil, dan Menengah sehingga mampu tumbuh dan berkembang menjadi usaha yang tangguh dan mandiri. 9. Iklim Usaha adalah kondisi yang diupayakan Pemerintah dan Pemerintah Daerah untuk memberdayakan Usaha Mikro, Kecil, dan Menengah secara sinergis melalui penetapan berbagai peraturan perundang-undangan dan kebijakan di berbagai aspek kehidupan ekonomi agar Usah a Mikro, Kecil, dan Menengah memperoleh pemihakan, kepastian, kesempatan, perlindungan, dan dukungan berusaha yang seluas-luasnya. 10. Pengembangan adalah upaya yang dilakukan oleh Pemerintah, Pemerintah Daerah, Dunia Usaha, dan masyarakat untuk memberdayakan Usaha Mikro, Kecil, dan Menengah melalui pemberian fasilitas, bimbingan, pendampingan, dan bantuan perkuatan untuk menumbuhkan dan meningkatkan kemampuan dan daya saing Usaha Mikro, Kecil, dan Menengah. 11. Pembiayaan adalah penyediaan dana oleh Pemerin tah, Pemerintah Daerah, Dunia Usaha, dan masyarakat melalui bank, koperasi, dan lembaga keuangan bukan bank, untuk mengembangkan dan memperkuat permodalan Usaha Mikro, Kecil, dan Menengah. 12. Penjaminan adalah pemberian jaminan pinjaman Usaha Mikro, Kecil, dan Menengah oleh lembaga penjamin kredit sebagai dukungan untuk memperbesar kesempatan memperoleh pinjaman dalam rangka memperkuat permodalannya. 13. Kemitraan adalah kerjasama dalam keterkaitan usaha, baik langsung maupun tidak langsung, atas dasar prinsip saling memerlukan, mempercayai, memperkuat, dan menguntungkan yang melibatkan pelaku Usaha Mikro, Kecil, dan Menengah dengan Usaha Besar. 14. Menteri . . . 14. Menteri adalah menteri yang tugas dan tanggung jawabnya di bidang Usaha Mikro, Kecil, dan Menengah. 15. Menteri Teknis adalah menteri yang secara teknis bertanggung jawab untuk mengembangkan Usaha Mikro, Kecil, dan Menengah dalam sektor kegiatannya.",3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
bab,,,,bab,BAB II: ASAS DAN TUJUAN,BAB II: ASAS DAN TUJUAN,1,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 2,2.0,,,pasal,"Usaha Mikro, Kecil, dan Menengah berasaskan: a. kekeluargaan; b. demokrasi ekonomi; c. kebersamaan; d. efisiensi berkeadilan; e. berkelanjutan; f. berwawasan lingkungan; g. kemandirian; h. keseimbangan kemajuan; dan i. kesatuan ekonomi nasional.","Pasal 2 berbunyi: Usaha Mikro, Kecil, dan Menengah berasaskan: a. kekeluargaan; b. demokrasi ekonomi; c. kebersamaan; d. efisiensi berkeadilan; e. berkelanjutan; f. berwawasan lingkungan; g. kemandirian; h. keseimbangan kemajuan; dan i. kesatuan ekonomi nasional.",3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 3,3.0,,,pasal,"Usaha Mikro, Kecil, dan Menengah bertujuan menumbuhkan d an mengembangkan usahanya dalam rangka membangun perekonomian nasional berdasarkan demokrasi ekonomi yan g berkeadilan.","Pasal 3 berbunyi: Usaha Mikro, Kecil, dan Menengah bertujuan menumbuhkan d an mengembangkan usahanya dalam rangka membangun perekonomian nasional berdasarkan demokrasi ekonomi yan g berkeadilan.",3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
bab,,,,bab,BAB III: PRINSIP DAN TUJUAN PEMBERDAYAAN,BAB III: PRINSIP DAN TUJUAN PEMBERDAYAAN,1,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
bagian,,,,bagian,Bagian Kesatu,Bagian Kesatu,2,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 4,4.0,,,pasal,"Prinsip pemberdayaan Usaha Mikro, Kecil, dan Menengah: a. penumbuhan kemandirian, kebersamaan, dan kewirausahaan Usaha Mikro, Kecil, dan Menengah untuk berkarya dengan prakarsa sendiri; b. perwujudan kebijakan publik yang transparan, ak untabel, dan berkeadilan; c. pengembangan . . . c. pengembangan usaha berbasis potensi daerah dan berorientasi pasar sesuai dengan kompetensi Usaha Mikr o, Kecil, dan Menengah; d. peningkatan daya saing Usaha Mikro, Kecil, dan Menengah; dan e. penyelenggaraan perencanaan, pelaksanaan, dan pengendalian secara terpadu. Bagian Kedua Tujuan Pemberdayaan","Pasal 4 berbunyi: Prinsip pemberdayaan Usaha Mikro, Kecil, dan Menengah: a. penumbuhan kemandirian, kebersamaan, dan kewirausahaan Usaha Mikro, Kecil, dan Menengah untuk berkarya dengan prakarsa sendiri; b. perwujudan kebijakan publik yang transparan, ak untabel, dan berkeadilan; c. pengembangan . . . c. pengembangan usaha berbasis potensi daerah dan berorientasi pasar sesuai dengan kompetensi Usaha Mikr o, Kecil, dan Menengah; d. peningkatan daya saing Usaha Mikro, Kecil, dan Menengah; dan e. penyelenggaraan perencanaan, pelaksanaan, dan pengendalian secara terpadu. Bagian Kedua Tujuan Pemberdayaan",3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
Pasal 5,5.0,,,pasal,"Tujuan pemberdayaan Usaha Mikro, Kecil, dan Menengah: a. mewujudkan struktur perekonomian nasional yang seimbang, berkembang, dan berkeadilan; b. menumbuhkan dan mengembangkan kemampuan Usaha Mikro, Kecil, dan Menengah menjadi usaha yang tangguh dan mandiri; dan c. meningkatkan peran Usaha Mikro, Kecil, dan Menengah dalam pembangunan daerah, penciptaan lapangan kerja, pemerataan pendapatan, pertumbuhan ekonomi, dan pengentasan rakyat dari kemiskinan.","Pasal 5 berbunyi: Tujuan pemberdayaan Usaha Mikro, Kecil, dan Menengah: a. mewujudkan struktur perekonomian nasional yang seimbang, berkembang, dan berkeadilan; b. menumbuhkan dan mengembangkan kemampuan Usaha Mikro, Kecil, dan Menengah menjadi usaha yang tangguh dan mandiri; dan c. meningkatkan peran Usaha Mikro, Kecil, dan Menengah dalam pembangunan daerah, penciptaan lapangan kerja, pemerataan pendapatan, pertumbuhan ekonomi, dan pengentasan rakyat dari kemiskinan.",3,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
bab,,,,bab,BAB IV: KRITERIA,BAB IV: KRITERIA,1,UU Nomor 20 Tahun 2008,UU Nomor 20 Tahun 2008.pdf
